Team,League,Year,RS,RA,W,OBP,SLG,BA,Playoffs,RankSeason,RankPlayoffs,G,OOBP,OSLG
NYY,AL,2003,877,716,101,0.36,0.45,0.27,1,1.00,2.00,163,0.31,0.41
OAK,AL,2003,768,643,96,0.33,0.42,0.25,1,3.00,4.00,162,0.31,0.38
PHI,NL,2003,791,697,86,0.34,0.42,0.26,0,NaN,NaN,162,0.33,0.40
PIT,NL,2003,753,801,75,0.34,0.42,0.27,0,NaN,NaN,162,0.34,0.43
SDP,NL,2003,678,831,64,0.33,0.39,0.26,0,NaN,NaN,162,0.34,0.44
SEA,AL,2003,795,637,93,0.34,0.41,0.27,0,NaN,NaN,162,0.31,0.39
SFG,NL,2003,755,638,100,0.34,0.42,0.26,1,2.00,4.00,161,0.32,0.39
STL,NL,2003,876,796,85,0.35,0.45,0.28,0,NaN,NaN,162,0.34,0.45
TBD,AL,2003,715,852,63,0.32,0.40,0.27,0,NaN,NaN,162,0.35,0.44
TEX,AL,2003,826,969,71,0.33,0.45,0.27,0,NaN,NaN,162,0.36,0.47
TOR,AL,2003,894,826,86,0.35,0.46,0.28,0,NaN,NaN,162,0.34,0.44
ANA,AL,2002,851,644,99,0.34,0.43,0.28,1,3.00,1.00,162,0.31,0.39
ARI,NL,2002,819,674,98,0.35,0.42,0.27,1,4.00,4.00,162,0.30,0.40
ATL,NL,2002,708,565,101,0.33,0.41,0.26,1,2.00,4.00,161,0.31,0.36
BAL,AL,2002,667,773,67,0.31,0.40,0.25,0,NaN,NaN,162,0.34,0.43
BOS,AL,2002,859,665,93,0.34,0.44,0.28,0,NaN,NaN,162,0.31,0.39
CHC,NL,2002,706,759,67,0.32,0.41,0.25,0,NaN,NaN,162,0.33,0.41
CHW,AL,2002,856,798,81,0.34,0.45,0.27,0,NaN,NaN,162,0.33,0.42
CIN,NL,2002,709,774,78,0.33,0.41,0.25,0,NaN,NaN,162,0.34,0.43
CLE,AL,2002,739,837,74,0.32,0.41,0.25,0,NaN,NaN,162,0.35,0.42
COL,NL,2002,778,898,73,0.34,0.42,0.27,0,NaN,NaN,162,0.35,0.47
DET,AL,2002,575,864,55,0.30,0.38,0.25,0,NaN,NaN,161,0.34,0.46
FLA,NL,2002,699,763,79,0.34,0.40,0.26,0,NaN,NaN,162,0.34,0.41
HOU,NL,2002,749,695,84,0.34,0.42,0.26,0,NaN,NaN,162,0.33,0.41
KCR,AL,2002,737,891,62,0.32,0.40,0.26,0,NaN,NaN,162,0.35,0.46
LAD,NL,2002,713,643,92,0.32,0.41,0.26,0,NaN,NaN,162,0.32,0.39
MIL,NL,2002,627,821,56,0.32,0.39,0.25,0,NaN,NaN,162,0.35,0.44
MIN,AL,2002,768,712,94,0.33,0.44,0.27,1,7.00,3.00,161,0.32,0.42
MON,NL,2002,735,718,83,0.33,0.42,0.26,0,NaN,NaN,162,0.33,0.42
NYM,NL,2002,690,703,75,0.32,0.40,0.26,0,NaN,NaN,161,0.33,0.40
NYY,AL,2002,897,697,103,0.35,0.46,0.28,1,1.00,4.00,161,0.31,0.40
OAK,AL,2002,800,654,103,0.34,0.43,0.26,1,1.00,4.00,162,0.32,0.38
PHI,NL,2002,710,724,80,0.34,0.42,0.26,0,NaN,NaN,161,0.33,0.40
PIT,NL,2002,641,730,72,0.32,0.38,0.24,0,NaN,NaN,161,0.34,0.42
SDP,NL,2002,662,815,66,0.32,0.38,0.25,0,NaN,NaN,162,0.35,0.44
SEA,AL,2002,814,699,93,0.35,0.42,0.28,0,NaN,NaN,162,0.32,0.41
SFG,NL,2002,783,616,95,0.34,0.44,0.27,1,6.00,2.00,162,0.32,0.37
STL,NL,2002,787,648,97,0.34,0.42,0.27,1,5.00,3.00,162,0.32,0.39
TBD,AL,2002,673,918,55,0.31,0.39,0.25,0,NaN,NaN,161,0.36,0.46
TEX,AL,2002,843,882,72,0.34,0.46,0.27,0,NaN,NaN,162,0.35,0.45
TOR,AL,2002,813,828,78,0.33,0.43,0.26,0,NaN,NaN,162,0.34,0.43
ANA,AL,2001,691,730,75,0.33,0.41,0.26,0,NaN,NaN,162,0.33,0.41
ARI,NL,2001,818,677,92,0.34,0.44,0.27,1,5.00,1.00,162,0.31,0.40
ATL,NL,2001,729,643,88,0.32,0.41,0.26,1,7.00,3.00,162,0.31,0.38
BAL,AL,2001,687,829,63,0.32,0.38,0.25,0,NaN,NaN,162,0.34,0.44
BOS,AL,2001,772,745,82,0.33,0.44,0.27,0,NaN,NaN,161,0.33,0.39
CHC,NL,2001,777,701,88,0.34,0.43,0.26,0,NaN,NaN,162,0.32,0.40
CHW,AL,2001,798,795,83,0.33,0.45,0.27,0,NaN,NaN,162,0.33,0.43
CIN,NL,2001,735,850,66,0.32,0.42,0.26,0,NaN,NaN,162,0.34,0.46
CLE,AL,2001,897,821,91,0.35,0.46,0.28,1,6.00,4.00,162,0.34,0.42
COL,NL,2001,923,906,73,0.35,0.48,0.29,0,NaN,NaN,162,0.35,0.48
DET,AL,2001,724,876,66,0.32,0.41,0.26,0,NaN,NaN,162,0.36,0.46
FLA,NL,2001,742,744,76,0.33,0.42,0.26,0,NaN,NaN,162,0.34,0.41
HOU,NL,2001,847,769,93,0.35,0.45,0.27,1,4.00,4.00,162,0.33,0.44
KCR,AL,2001,729,858,65,0.32,0.41,0.27,0,NaN,NaN,162,0.35,0.45
LAD,NL,2001,758,744,86,0.32,0.42,0.26,0,NaN,NaN,162,0.32,0.41
MIL,NL,2001,740,806,68,0.32,0.43,0.25,0,NaN,NaN,162,0.35,0.44
MIN,AL,2001,771,766,85,0.34,0.43,0.27,0,NaN,NaN,162,0.33,0.44
MON,NL,2001,670,812,68,0.32,0.40,0.25,0,NaN,NaN,162,0.34,0.44
NYM,NL,2001,642,713,82,0.32,0.39,0.25,0,NaN,NaN,162,0.31,0.42
NYY,AL,2001,804,713,95,0.33,0.43,0.27,1,3.00,2.00,161,0.32,0.40
OAK,AL,2001,884,645,102,0.34,0.44,0.26,1,2.00,4.00,162,0.31,0.38
PHI,NL,2001,746,719,86,0.33,0.41,0.26,0,NaN,NaN,162,0.33,0.42
PIT,NL,2001,657,858,62,0.31,0.39,0.25,0,NaN,NaN,162,0.34,0.43
SDP,NL,2001,789,812,79,0.34,0.40,0.25,0,NaN,NaN,162,0.33,0.45
SEA,AL,2001,927,627,116,0.36,0.45,0.29,1,1.00,3.00,162,0.30,0.38
SFG,NL,2001,799,748,90,0.34,0.46,0.27,0,NaN,NaN,162,0.33,0.40
STL,NL,2001,814,684,93,0.34,0.44,0.27,1,4.00,4.00,162,0.33,0.43
TBD,AL,2001,672,887,62,0.32,0.39,0.26,0,NaN,NaN,162,0.34,0.45
TEX,AL,2001,890,968,73,0.34,0.47,0.28,0,NaN,NaN,162,0.36,0.49
TOR,AL,2001,767,753,80,0.33,0.43,0.26,0,NaN,NaN,162,0.34,0.43
ANA,AL,2000,864,869,82,0.35,0.47,0.28,0,NaN,NaN,162,0.35,0.45
ARI,NL,2000,792,754,85,0.33,0.43,0.27,0,NaN,NaN,162,0.33,0.42
ATL,NL,2000,810,714,95,0.35,0.43,0.27,1,2.00,4.00,162,0.32,0.40
BAL,AL,2000,794,913,74,0.34,0.43,0.27,0,NaN,NaN,162,0.35,0.45
BOS,AL,2000,792,745,85,0.34,0.42,0.27,0,NaN,NaN,162,0.32,0.41
CHC,NL,2000,764,904,65,0.34,0.41,0.26,0,NaN,NaN,162,0.35,0.45
CHW,AL,2000,978,839,95,0.36,0.47,0.29,1,2.00,4.00,162,0.35,0.43
CIN,NL,2000,825,765,85,0.34,0.45,0.27,0,NaN,NaN,163,0.34,0.44
CLE,AL,2000,950,816,90,0.37,0.47,0.29,0,NaN,NaN,162,0.35,0.42
COL,NL,2000,968,897,82,0.36,0.46,0.29,0,NaN,NaN,162,0.35,0.47
DET,AL,2000,823,827,79,0.34,0.44,0.28,0,NaN,NaN,162,0.34,0.44
FLA,NL,2000,731,797,79,0.33,0.41,0.26,0,NaN,NaN,161,0.35,0.43
HOU,NL,2000,938,944,72,0.36,0.48,0.28,0,NaN,NaN,162,0.35,0.48
KCR,AL,2000,879,930,77,0.35,0.42,0.29,0,NaN,NaN,162,0.36,0.47
LAD,NL,2000,798,729,86,0.34,0.43,0.26,0,NaN,NaN,162,0.33,0.41
MIL,NL,2000,740,826,73,0.33,0.40,0.25,0,NaN,NaN,163,0.36,0.42
MIN,AL,2000,748,880,69,0.34,0.41,0.27,0,NaN,NaN,162,0.35,0.47
MON,NL,2000,738,902,67,0.33,0.43,0.27,0,NaN,NaN,162,0.35,0.45
NYM,NL,2000,807,738,94,0.35,0.43,0.26,1,3.00,2.00,162,0.33,0.40
NYY,AL,2000,871,814,87,0.35,0.45,0.28,1,5.00,1.00,161,0.34,0.42
OAK,AL,2000,947,813,91,0.36,0.46,0.27,1,4.00,4.00,161,0.35,0.42
PHI,NL,2000,708,830,65,0.33,0.40,0.25,0,NaN,NaN,162,0.34,0.45
PIT,NL,2000,793,888,69,0.34,0.42,0.27,0,NaN,NaN,162,0.36,0.43
SDP,NL,2000,752,815,76,0.33,0.40,0.25,0,NaN,NaN,162,0.34,0.42
SEA,AL,2000,907,780,91,0.36,0.44,0.27,1,4.00,3.00,162,0.34,0.42
SFG,NL,2000,925,747,97,0.36,0.47,0.28,1,1.00,4.00,162,0.34,0.41
STL,NL,2000,887,771,95,0.36,0.46,0.27,1,2.00,3.00,162,0.34,0.43
TBD,AL,2000,733,842,69,0.33,0.40,0.26,0,NaN,NaN,161,0.34,0.45
TEX,AL,2000,848,974,71,0.35,0.45,0.28,0,NaN,NaN,162,0.37,0.47
TOR,AL,2000,861,908,83,0.34,0.47,0.28,0,NaN,NaN,162,0.35,0.46
ANA,AL,1999,711,826,70,0.32,0.40,0.26,0,NaN,NaN,162,0.35,0.43
ARI,NL,1999,908,676,100,0.35,0.46,0.28,1,2.00,4.00,162,0.32,0.40
ATL,NL,1999,840,661,103,0.34,0.44,0.27,1,1.00,2.00,162,0.31,0.38
BAL,AL,1999,851,815,78,0.35,0.45,0.28,0,NaN,NaN,162,0.35,0.44
BOS,AL,1999,836,718,94,0.35,0.45,0.28,1,6.00,3.00,162,0.32,0.40
CHC,NL,1999,747,920,67,0.33,0.42,0.26,0,NaN,NaN,162,0.35,0.47
CHW,AL,1999,777,870,75,0.34,0.43,0.28,0,NaN,NaN,162,0.35,0.45
CIN,NL,1999,865,711,96,0.34,0.45,0.27,0,NaN,NaN,163,0.32,0.41
CLE,AL,1999,1009,860,97,0.37,0.47,0.29,1,4.00,4.00,162,0.35,0.44
COL,NL,1999,906,1028,72,0.35,0.47,0.29,0,NaN,NaN,162,0.38,0.50
DET,AL,1999,747,882,69,0.33,0.44,0.26,0,NaN,NaN,161,0.35,0.45
FLA,NL,1999,691,852,64,0.33,0.40,0.26,0,NaN,NaN,162,0.36,0.44
HOU,NL,1999,823,675,97,0.35,0.42,0.27,1,4.00,4.00,162,0.33,0.40
KCR,AL,1999,856,921,64,0.35,0.43,0.28,0,NaN,NaN,161,0.36,0.45
LAD,NL,1999,793,787,77,0.34,0.42,0.27,0,NaN,NaN,162,0.34,0.42
MIL,NL,1999,815,886,74,0.35,0.43,0.27,0,NaN,NaN,161,0.36,0.46
MIN,AL,1999,686,845,63,0.33,0.38,0.26,0,NaN,NaN,161,0.34,0.47
MON,NL,1999,718,853,68,0.32,0.43,0.27,0,NaN,NaN,162,0.34,0.42
NYM,NL,1999,853,711,97,0.36,0.43,0.28,1,4.00,3.00,163,0.33,0.42
NYY,AL,1999,900,731,98,0.37,0.45,0.28,1,3.00,1.00,162,0.33,0.40
OAK,AL,1999,893,846,87,0.35,0.45,0.26,0,NaN,NaN,162,0.34,0.43
PHI,NL,1999,841,846,77,0.35,0.43,0.28,0,NaN,NaN,162,0.35,0.45
PIT,NL,1999,775,782,78,0.33,0.42,0.26,0,NaN,NaN,161,0.34,0.42
SDP,NL,1999,710,781,74,0.33,0.39,0.25,0,NaN,NaN,162,0.33,0.43
SEA,AL,1999,859,905,79,0.34,0.46,0.27,0,NaN,NaN,162,0.37,0.45
SFG,NL,1999,872,831,86,0.36,0.43,0.27,0,NaN,NaN,162,0.34,0.42
STL,NL,1999,809,838,75,0.34,0.43,0.26,0,NaN,NaN,161,0.35,0.43
TBD,AL,1999,772,913,69,0.34,0.41,0.27,0,NaN,NaN,162,0.37,0.45
TEX,AL,1999,945,859,95,0.36,0.48,0.29,1,5.00,4.00,162,0.35,0.46
TOR,AL,1999,883,862,84,0.35,0.46,0.28,0,NaN,NaN,162,0.35,0.46
ANA,AL,1998,787,783,85,0.34,0.41,0.27,0,NaN,NaN,162,NaN,NaN
ARI,NL,1998,665,812,65,0.31,0.39,0.25,0,NaN,NaN,162,NaN,NaN
ATL,NL,1998,826,581,106,0.34,0.45,0.27,1,2.00,3.00,162,NaN,NaN
BAL,AL,1998,817,785,79,0.35,0.45,0.27,0,NaN,NaN,162,NaN,NaN
BOS,AL,1998,876,729,92,0.35,0.46,0.28,1,5.00,4.00,162,NaN,NaN
CHC,NL,1998,831,792,90,0.34,0.43,0.26,1,6.00,4.00,163,NaN,NaN
CHW,AL,1998,861,931,80,0.34,0.44,0.27,0,NaN,NaN,163,NaN,NaN
CIN,NL,1998,750,760,77,0.34,0.40,0.26,0,NaN,NaN,162,NaN,NaN
CLE,AL,1998,850,779,89,0.35,0.45,0.27,1,7.00,3.00,162,NaN,NaN
COL,NL,1998,826,855,77,0.35,0.46,0.29,0,NaN,NaN,162,NaN,NaN
DET,AL,1998,722,863,65,0.32,0.41,0.26,0,NaN,NaN,162,NaN,NaN
FLA,NL,1998,667,923,54,0.32,0.37,0.25,0,NaN,NaN,162,NaN,NaN
HOU,NL,1998,874,620,102,0.36,0.44,0.28,1,3.00,4.00,162,NaN,NaN
KCR,AL,1998,714,899,72,0.32,0.40,0.26,0,NaN,NaN,161,NaN,NaN
LAD,NL,1998,669,678,83,0.31,0.39,0.25,0,NaN,NaN,162,NaN,NaN
MIL,NL,1998,707,812,74,0.33,0.40,0.26,0,NaN,NaN,162,NaN,NaN
MIN,AL,1998,734,818,70,0.33,0.39,0.27,0,NaN,NaN,162,NaN,NaN
MON,NL,1998,644,783,65,0.31,0.39,0.25,0,NaN,NaN,162,NaN,NaN
NYM,NL,1998,706,645,88,0.33,0.39,0.26,0,NaN,NaN,162,NaN,NaN
NYY,AL,1998,965,656,114,0.36,0.46,0.29,1,1.00,1.00,162,NaN,NaN
OAK,AL,1998,804,866,74,0.34,0.40,0.26,0,NaN,NaN,162,NaN,NaN
PHI,NL,1998,713,808,75,0.33,0.40,0.26,0,NaN,NaN,162,NaN,NaN
PIT,NL,1998,650,718,69,0.31,0.37,0.25,0,NaN,NaN,163,NaN,NaN
SDP,NL,1998,749,635,98,0.33,0.41,0.25,1,4.00,2.00,162,NaN,NaN
SEA,AL,1998,859,855,76,0.34,0.47,0.28,0,NaN,NaN,161,NaN,NaN
SFG,NL,1998,845,739,89,0.35,0.42,0.27,0,NaN,NaN,163,NaN,NaN
STL,NL,1998,810,782,83,0.34,0.44,0.26,0,NaN,NaN,163,NaN,NaN
TBD,AL,1998,620,751,63,0.32,0.39,0.26,0,NaN,NaN,162,NaN,NaN
TEX,AL,1998,940,871,88,0.36,0.46,0.29,1,8.00,4.00,162,NaN,NaN
TOR,AL,1998,816,768,88,0.34,0.45,0.27,0,NaN,NaN,163,NaN,NaN
ANA,AL,1997,829,794,84,0.35,0.42,0.27,0,NaN,NaN,162,NaN,NaN
ATL,NL,1997,791,581,101,0.34,0.43,0.27,1,1.00,3.00,162,NaN,NaN
BAL,AL,1997,812,681,98,0.34,0.43,0.27,1,2.00,3.00,162,NaN,NaN
BOS,AL,1997,851,857,78,0.35,0.46,0.29,0,NaN,NaN,162,NaN,NaN
CHC,NL,1997,687,759,68,0.32,0.40,0.26,0,NaN,NaN,162,NaN,NaN
CHW,AL,1997,779,833,80,0.34,0.42,0.27,0,NaN,NaN,161,NaN,NaN
CIN,NL,1997,651,764,76,0.32,0.39,0.25,0,NaN,NaN,162,NaN,NaN
CLE,AL,1997,868,815,86,0.36,0.47,0.29,1,6.00,2.00,161,NaN,NaN
COL,NL,1997,923,908,83,0.36,0.48,0.29,0,NaN,NaN,162,NaN,NaN
DET,AL,1997,784,790,79,0.33,0.41,0.26,0,NaN,NaN,162,NaN,NaN
FLA,NL,1997,740,669,92,0.35,0.40,0.26,1,4.00,1.00,162,NaN,NaN
HOU,NL,1997,777,660,84,0.34,0.40,0.26,1,7.00,4.00,162,NaN,NaN
KCR,AL,1997,747,820,67,0.33,0.41,0.26,0,NaN,NaN,161,NaN,NaN
LAD,NL,1997,742,645,88,0.33,0.42,0.27,0,NaN,NaN,162,NaN,NaN
MIL,AL,1997,681,742,78,0.33,0.40,0.26,0,NaN,NaN,161,NaN,NaN
MIN,AL,1997,772,861,68,0.33,0.41,0.27,0,NaN,NaN,162,NaN,NaN
MON,NL,1997,691,740,78,0.32,0.42,0.26,0,NaN,NaN,162,NaN,NaN
NYM,NL,1997,777,709,88,0.33,0.41,0.26,0,NaN,NaN,162,NaN,NaN
NYY,AL,1997,891,688,96,0.36,0.44,0.29,1,3.00,4.00,162,NaN,NaN
OAK,AL,1997,764,946,65,0.34,0.42,0.26,0,NaN,NaN,162,NaN,NaN
PHI,NL,1997,668,840,68,0.32,0.39,0.26,0,NaN,NaN,162,NaN,NaN
PIT,NL,1997,725,760,79,0.33,0.40,0.26,0,NaN,NaN,162,NaN,NaN
SDP,NL,1997,795,891,76,0.34,0.41,0.27,0,NaN,NaN,162,NaN,NaN
SEA,AL,1997,925,833,90,0.35,0.48,0.28,1,5.00,4.00,162,NaN,NaN
SFG,NL,1997,784,793,90,0.34,0.41,0.26,1,5.00,4.00,162,NaN,NaN
STL,NL,1997,689,708,73,0.32,0.40,0.26,0,NaN,NaN,162,NaN,NaN
TEX,AL,1997,807,823,77,0.33,0.44,0.27,0,NaN,NaN,162,NaN,NaN
TOR,AL,1997,654,694,76,0.31,0.39,0.24,0,NaN,NaN,162,NaN,NaN
ATL,NL,1996,773,648,96,0.33,0.43,0.27,1,2.00,2.00,162,NaN,NaN
BAL,AL,1996,949,903,88,0.35,0.47,0.27,1,6.00,3.00,163,NaN,NaN
BOS,AL,1996,928,921,85,0.36,0.46,0.28,0,NaN,NaN,162,NaN,NaN
CAL,AL,1996,762,943,70,0.34,0.43,0.28,0,NaN,NaN,161,NaN,NaN
CHC,NL,1996,772,771,76,0.32,0.40,0.25,0,NaN,NaN,162,NaN,NaN
CHW,AL,1996,898,794,85,0.36,0.45,0.28,0,NaN,NaN,162,NaN,NaN
CIN,NL,1996,778,773,81,0.33,0.42,0.26,0,NaN,NaN,162,NaN,NaN
CLE,AL,1996,952,769,99,0.37,0.47,0.29,1,1.00,4.00,161,NaN,NaN
COL,NL,1996,961,964,83,0.35,0.47,0.29,0,NaN,NaN,162,NaN,NaN
DET,AL,1996,783,1103,53,0.32,0.42,0.26,0,NaN,NaN,162,NaN,NaN
FLA,NL,1996,688,703,80,0.33,0.39,0.26,0,NaN,NaN,162,NaN,NaN
HOU,NL,1996,753,792,82,0.34,0.40,0.26,0,NaN,NaN,162,NaN,NaN
KCR,AL,1996,746,786,75,0.33,0.40,0.27,0,NaN,NaN,161,NaN,NaN
LAD,NL,1996,703,652,90,0.32,0.38,0.25,1,5.00,4.00,162,NaN,NaN
MIL,AL,1996,894,899,80,0.35,0.44,0.28,0,NaN,NaN,162,NaN,NaN
MIN,AL,1996,877,900,78,0.36,0.42,0.29,0,NaN,NaN,162,NaN,NaN
MON,NL,1996,741,668,88,0.33,0.41,0.26,0,NaN,NaN,162,NaN,NaN
NYM,NL,1996,746,779,71,0.32,0.41,0.27,0,NaN,NaN,162,NaN,NaN
NYY,AL,1996,871,787,92,0.36,0.44,0.29,1,3.00,1.00,162,NaN,NaN
OAK,AL,1996,861,900,78,0.34,0.45,0.27,0,NaN,NaN,162,NaN,NaN
PHI,NL,1996,650,790,67,0.33,0.39,0.26,0,NaN,NaN,162,NaN,NaN
PIT,NL,1996,776,833,73,0.33,0.41,0.27,0,NaN,NaN,162,NaN,NaN
SDP,NL,1996,771,682,91,0.34,0.40,0.27,1,4.00,4.00,162,NaN,NaN
SEA,AL,1996,993,895,85,0.37,0.48,0.29,0,NaN,NaN,161,NaN,NaN
SFG,NL,1996,752,862,68,0.33,0.39,0.25,0,NaN,NaN,162,NaN,NaN
STL,NL,1996,759,706,88,0.33,0.41,0.27,1,6.00,3.00,162,NaN,NaN
TEX,AL,1996,928,799,90,0.36,0.47,0.28,1,5.00,4.00,163,NaN,NaN
TOR,AL,1996,766,809,74,0.33,0.42,0.26,0,NaN,NaN,162,NaN,NaN
ATL,NL,1993,767,559,104,0.33,0.41,0.26,1,1.00,3.00,162,NaN,NaN
BAL,AL,1993,786,745,85,0.35,0.41,0.27,0,NaN,NaN,162,NaN,NaN
BOS,AL,1993,686,698,80,0.33,0.40,0.26,0,NaN,NaN,162,NaN,NaN
CAL,AL,1993,684,770,71,0.33,0.38,0.26,0,NaN,NaN,162,NaN,NaN
CHC,NL,1993,738,739,84,0.33,0.41,0.27,0,NaN,NaN,163,NaN,NaN
CHW,AL,1993,776,664,94,0.34,0.41,0.27,1,4.00,3.00,162,NaN,NaN
CIN,NL,1993,722,785,73,0.32,0.40,0.26,0,NaN,NaN,162,NaN,NaN
CLE,AL,1993,790,813,76,0.34,0.41,0.28,0,NaN,NaN,162,NaN,NaN
COL,NL,1993,758,967,67,0.32,0.42,0.27,0,NaN,NaN,162,NaN,NaN
DET,AL,1993,899,837,85,0.36,0.43,0.28,0,NaN,NaN,162,NaN,NaN
FLA,NL,1993,581,724,64,0.31,0.35,0.25,0,NaN,NaN,162,NaN,NaN
HOU,NL,1993,716,630,85,0.33,0.41,0.27,0,NaN,NaN,162,NaN,NaN
KCR,AL,1993,675,694,84,0.32,0.40,0.26,0,NaN,NaN,162,NaN,NaN
LAD,NL,1993,675,662,81,0.32,0.38,0.26,0,NaN,NaN,162,NaN,NaN
MIL,AL,1993,733,792,69,0.33,0.38,0.26,0,NaN,NaN,162,NaN,NaN
MIN,AL,1993,693,830,71,0.33,0.39,0.26,0,NaN,NaN,162,NaN,NaN
MON,NL,1993,732,682,94,0.33,0.39,0.26,0,NaN,NaN,163,NaN,NaN
NYM,NL,1993,672,744,59,0.30,0.39,0.25,0,NaN,NaN,162,NaN,NaN
NYY,AL,1993,821,761,88,0.35,0.43,0.28,0,NaN,NaN,162,NaN,NaN
OAK,AL,1993,715,846,68,0.33,0.39,0.25,0,NaN,NaN,162,NaN,NaN
PHI,NL,1993,877,740,97,0.35,0.43,0.27,1,2.00,2.00,162,NaN,NaN
PIT,NL,1993,707,806,75,0.34,0.39,0.27,0,NaN,NaN,162,NaN,NaN
SDP,NL,1993,679,772,61,0.31,0.39,0.25,0,NaN,NaN,162,NaN,NaN
SEA,AL,1993,734,731,82,0.34,0.41,0.26,0,NaN,NaN,162,NaN,NaN
SFG,NL,1993,808,636,103,0.34,0.43,0.28,0,NaN,NaN,162,NaN,NaN
STL,NL,1993,758,744,87,0.34,0.40,0.27,0,NaN,NaN,162,NaN,NaN
TEX,AL,1993,835,751,86,0.33,0.43,0.27,0,NaN,NaN,162,NaN,NaN
TOR,AL,1993,847,742,95,0.35,0.44,0.28,1,3.00,1.00,162,NaN,NaN
ATL,NL,1992,682,569,98,0.32,0.39,0.25,1,1.00,2.00,162,NaN,NaN
BAL,AL,1992,705,656,89,0.34,0.40,0.26,0,NaN,NaN,162,NaN,NaN
BOS,AL,1992,599,669,73,0.32,0.35,0.25,0,NaN,NaN,162,NaN,NaN
CAL,AL,1992,579,671,72,0.30,0.34,0.24,0,NaN,NaN,162,NaN,NaN
CHC,NL,1992,593,624,78,0.31,0.36,0.25,0,NaN,NaN,162,NaN,NaN
CHW,AL,1992,738,690,86,0.34,0.38,0.26,0,NaN,NaN,162,NaN,NaN
CIN,NL,1992,660,609,90,0.33,0.38,0.26,0,NaN,NaN,162,NaN,NaN
CLE,AL,1992,674,746,76,0.32,0.38,0.27,0,NaN,NaN,162,NaN,NaN
DET,AL,1992,791,794,75,0.34,0.41,0.26,0,NaN,NaN,162,NaN,NaN
HOU,NL,1992,608,668,81,0.31,0.36,0.25,0,NaN,NaN,162,NaN,NaN
KCR,AL,1992,610,667,72,0.32,0.36,0.26,0,NaN,NaN,162,NaN,NaN
LAD,NL,1992,548,636,63,0.31,0.34,0.25,0,NaN,NaN,162,NaN,NaN
MIL,AL,1992,740,604,92,0.33,0.38,0.27,0,NaN,NaN,162,NaN,NaN
MIN,AL,1992,747,653,90,0.34,0.39,0.28,0,NaN,NaN,162,NaN,NaN
MON,NL,1992,648,581,87,0.31,0.37,0.25,0,NaN,NaN,162,NaN,NaN
NYM,NL,1992,599,653,72,0.31,0.34,0.23,0,NaN,NaN,162,NaN,NaN
NYY,AL,1992,733,746,76,0.33,0.41,0.26,0,NaN,NaN,162,NaN,NaN
OAK,AL,1992,745,672,96,0.35,0.39,0.26,1,2.00,3.00,162,NaN,NaN
PHI,NL,1992,686,717,70,0.32,0.38,0.25,0,NaN,NaN,162,NaN,NaN
PIT,NL,1992,693,595,96,0.32,0.38,0.26,1,2.00,3.00,162,NaN,NaN
SDP,NL,1992,617,636,82,0.31,0.39,0.26,0,NaN,NaN,162,NaN,NaN
SEA,AL,1992,679,799,64,0.32,0.40,0.26,0,NaN,NaN,162,NaN,NaN
SFG,NL,1992,574,647,72,0.30,0.35,0.24,0,NaN,NaN,162,NaN,NaN
STL,NL,1992,631,604,83,0.32,0.38,0.26,0,NaN,NaN,162,NaN,NaN
TEX,AL,1992,682,753,77,0.32,0.39,0.25,0,NaN,NaN,162,NaN,NaN
TOR,AL,1992,780,682,96,0.33,0.41,0.26,1,2.00,1.00,162,NaN,NaN
ATL,NL,1991,749,644,94,0.33,0.39,0.26,1,3.00,2.00,162,NaN,NaN
BAL,AL,1991,686,796,67,0.32,0.40,0.25,0,NaN,NaN,162,NaN,NaN
BOS,AL,1991,731,712,84,0.34,0.40,0.27,0,NaN,NaN,162,NaN,NaN
CAL,AL,1991,653,649,81,0.31,0.37,0.26,0,NaN,NaN,162,NaN,NaN
CHC,NL,1991,695,734,77,0.31,0.39,0.25,0,NaN,NaN,160,NaN,NaN
CHW,AL,1991,758,681,87,0.34,0.39,0.26,0,NaN,NaN,162,NaN,NaN
CIN,NL,1991,689,691,74,0.32,0.40,0.26,0,NaN,NaN,162,NaN,NaN
CLE,AL,1991,576,759,57,0.31,0.35,0.25,0,NaN,NaN,162,NaN,NaN
DET,AL,1991,817,794,84,0.33,0.42,0.25,0,NaN,NaN,162,NaN,NaN
HOU,NL,1991,605,717,65,0.31,0.35,0.24,0,NaN,NaN,162,NaN,NaN
KCR,AL,1991,727,722,82,0.33,0.39,0.26,0,NaN,NaN,162,NaN,NaN
LAD,NL,1991,665,565,93,0.33,0.36,0.25,0,NaN,NaN,162,NaN,NaN
MIL,AL,1991,799,744,83,0.34,0.40,0.27,0,NaN,NaN,162,NaN,NaN
MIN,AL,1991,776,652,95,0.34,0.42,0.28,1,2.00,1.00,162,NaN,NaN
MON,NL,1991,579,655,71,0.31,0.36,0.25,0,NaN,NaN,161,NaN,NaN
NYM,NL,1991,640,646,77,0.32,0.36,0.24,0,NaN,NaN,161,NaN,NaN
NYY,AL,1991,674,777,71,0.32,0.39,0.26,0,NaN,NaN,162,NaN,NaN
OAK,AL,1991,760,776,84,0.33,0.39,0.25,0,NaN,NaN,162,NaN,NaN
PHI,NL,1991,629,680,78,0.30,0.36,0.24,0,NaN,NaN,162,NaN,NaN
PIT,NL,1991,768,632,98,0.34,0.40,0.26,1,1.00,3.00,162,NaN,NaN
